ticker,company,gics_sector,start_date,end_date,delist_note
# ---------------------------------------------------------------------------
# POINT IN TIME S&P 600 + S&P 400 MEMBERSHIP STORE  (schema, read by universe.py)
# ---------------------------------------------------------------------------
# One row per (ticker, membership interval). A ticker that left and re entered
# an index has multiple rows.
#
#   ticker       yfinance normalized symbol (BRK.B -> BRK-B)
#   company      issuer name
#   gics_sector  GICS sector at time of membership (sector neutral grouping key)
#   start_date   first date the name was an index member (YYYY-MM-DD)
#   end_date     last date of membership; BLANK = still a member
#   delist_note  why it left: "delisted", "acquired", "promoted", "relegated",
#                "" if still a member. Names that left via "delisted" are the
#                survivorship cases backtest.py must carry to terminal value
#                (see diagnostics/survivorship_assert.py).
#
# is_member(ticker, date) := any row with start_date <= date <= (end_date or +inf)
#
# The universe is the UNION of the S&P 600 (SmallCap) and the S&P 400 (MidCap),
# so names that graduated out of the 600 up into the 400 are still scored and
# still match in the portfolio overlay.
#
# This file ships EMPTY of real rows. universe.py seeds it from current
# Wikipedia membership (600 + 400) on first run and warns LOUDLY that a current
# only snapshot is survivorship biased. Replace with a true point in time export
# from S&P Global / CRSP for a clean backtest. The two example rows below are
# commented out and exist only to document the format.
MSEX,Middlesex Water Company,Utilities,2026-07-04,,
MSGS,Madison Square Garden Sports Corp.,Communication Services,2026-07-04,,
MTCH,Match Group,Communication Services,2026-07-04,,
MTH,Meritage Homes Corporation,Consumer Discretionary,2026-07-04,,
MTRN,Materion Corp.,Materials,2026-07-04,,
MTUS,Metallus Inc,Materials,2026-07-04,,
MTX,Minerals Technologies,Materials,2026-07-04,,
MWA,Mueller Water Products,Industrials,2026-07-04,,
MXL,"MaxLinear, Inc.",Information Technology,2026-07-04,,
MYRG,"MYR Group, Inc.",Industrials,2026-07-04,,
NABL,"N-able, Inc.",Information Technology,2026-07-04,,
NATL,NCR Atleos,Financials,2026-07-04,,
NAVI,Navient,Financials,2026-07-04,,
NBHC,National Bank Holdings Corporation,Financials,2026-07-04,,
NBTB,"NBT Bancorp, Inc.",Financials,2026-07-04,,
NE,Noble Corporation,Energy,2026-07-04,,
NEO,"NeoGenomics Laboratories, Inc.",Health Care,2026-07-04,,
NEOG,Neogen,Health Care,2026-07-04,,
NGVT,"Ingevity, Corp.",Materials,2026-07-04,,
NHC,"National Healthcare, Corp.",Health Care,2026-07-04,,
NHI,"National Health Investors, Inc.",Real Estate,2026-07-04,,
NMIH,"NMI Holdings, Inc.",Financials,2026-07-04,,
NOG,"Northern Oil and Gas, Inc.",Energy,2026-07-04,,
NPK,"National Presto Industries, Inc.",Industrials,2026-07-04,,
NPO,"EnPro Industries, Inc.",Industrials,2026-07-04,,
NSIT,"Insight Enterprises, Inc.",Industrials,2026-07-04,,
NSP,Insperity,Industrials,2026-07-04,,
NSSC,Napco Security Technologies,Information Technology,2026-07-04,,
NTCT,"NETSCOUT Systems, Inc.",Information Technology,2026-07-04,,
NTST,NETSTREIT Corp.,Real Estate,2026-07-04,,
NWBI,"Northwest Bancshares, Inc.",Financials,2026-07-04,,
NWL,Newell Brands,Consumer Discretionary,2026-07-04,,
NWN,NW Natural,Utilities,2026-07-04,,
NX,Quanex Building Products Corporation,Industrials,2026-07-04,,
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,2026-07-04,,
OFG,OFG Bancorp,Financials,2026-07-04,,
OGN,Organon & Co.,Health Care,2026-07-04,,
OI,"O-I Glass, Inc.",Materials,2026-07-04,,
OII,"Oceaneering International, Inc.",Energy,2026-07-04,,
OMCL,Omnicell,Health Care,2026-07-04,,
OSIS,"OSI Systems, Inc.",Information Technology,2026-07-04,,
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,2026-07-04,,
OTTR,Otter Tail Corporation,Utilities,2026-07-04,,
OUT,Outfront Media,Real Estate,2026-07-04,,
OXM,"Oxford Industries, Inc.",Consumer Discretionary,2026-07-04,,
PAHC,Phibro Animal Health,Health Care,2026-07-04,,
PARR,"Par Pacific Holdings, Inc.",Energy,2026-07-04,,
PAYC,Paycom,Industrials,2026-07-04,,
PAYO,Payoneer Global Inc.,Financials,2026-07-04,,
PATK,"Patrick Industries, Inc.",Consumer Discretionary,2026-07-04,,
PBH,Prestige Consumer Healthcare,Health Care,2026-07-04,,
PBI,"Pitney Bowes, Inc.",Industrials,2026-07-04,,
PCRX,"Pacira BioSciences, Inc.",Health Care,2026-07-04,,
PDFS,"PDF Solutions, Inc.",Information Technology,2026-07-04,,
PEB,Pebblebrook Hotel Trust,Real Estate,2026-07-04,,
PECO,Phillips Edison & Company,Real Estate,2026-07-04,,
PENG,"Penguin Solutions, Inc.",Information Technology,2026-07-04,,
PENN,Penn Entertainment,Consumer Discretionary,2026-07-04,,
PFBC,Preferred Bank,Financials,2026-07-04,,
PFS,"Provident Financial Services, Inc.",Financials,2026-07-04,,
PGNY,Progyny,Health Care,2026-07-04,,
PHIN,"PHINIA, Inc.",Consumer Discretionary,2026-07-04,,
PI,"Impinj, Inc.",Information Technology,2026-07-04,,
PIPR,Piper Sandler Companies,Financials,2026-07-04,,
PJT,"PJT Partners, Inc.",Financials,2026-07-04,,
PLAB,"Photronics, Inc.",Information Technology,2026-07-04,,
PLMR,"Palomar Holdings, Inc.",Financials,2026-07-04,,
PLUS,"ePlus, Inc.",Information Technology,2026-07-04,,
PLXS,Plexus Corp.,Information Technology,2026-07-04,,
PMT,PennyMac Mortgage Investment Trust,Real Estate,2026-07-04,,
POWI,Power Integrations,Information Technology,2026-07-04,,
POWL,"Powell Industries, Inc.",Industrials,2026-07-04,,
PPLI,People Inc.,Communication Services,2026-07-04,,
PRAA,"PRA Group, Inc.",Financials,2026-07-04,,
PRDO,Perdoceo Education Corp.,Consumer Discretionary,2026-07-04,,
PRG,"PROG Holdings, Inc.",Financials,2026-07-04,,
PRGO,Perrigo,Health Care,2026-07-04,,
PRGS,Progress Software Corporation,Information Technology,2026-07-04,,
PRIM,Primoris Services Corporation,Industrials,2026-07-04,,
PRK,Park National Corp.,Financials,2026-07-04,,
PRKS,United Parks & Resorts,Consumer Discretionary,2026-07-04,,
PRLB,Protolabs,Industrials,2026-07-04,,
PRSU,"Pursuit Attractions & Hospitality, Inc.",Consumer Discretionary,2026-07-04,,
PRVA,"Privia Health Group, Inc.",Health Care,2026-07-04,,
PSMT,PriceSmart,Consumer Staples,2026-07-04,,
PTCT,"PTC Therapeutics, Inc.",Health Care,2026-07-04,,
PTEN,"Patterson-UTI Energy, Inc.",Energy,2026-07-04,,
PTGX,"Protagonist Therapeutics, Inc.",Health Care,2026-07-04,,
PTON,"Peloton Interactive, Inc.",Consumer Discretionary,2026-07-04,,
PZZA,Papa John's Pizza,Consumer Discretionary,2026-07-04,,
QDEL,QuidelOrtho,Health Care,2026-07-04,,
QNST,"QuinStreet, Inc.",Communication Services,2026-07-04,,
QRVO,Qorvo,Information Technology,2026-07-04,,
QTWO,"Q2 Holdings, Inc.",Information Technology,2026-07-04,,
RAMP,"LiveRamp Holdings, Inc.",Information Technology,2026-07-04,,
RAL,Ralliant Corp,Information Technology,2026-07-04,,
RCUS,"Arcus Biosciences, Inc.",Health Care,2026-07-04,,
RDN,"Radian Group, Inc.",Financials,2026-07-04,,
RDNT,"RadNet, Inc.",Health Care,2026-07-04,,
RELY,Remitly,Financials,2026-07-04,,
RES,"RPC, Inc.",Energy,2026-07-04,,
REYN,Reynolds Consumer Products,Consumer Staples,2026-07-04,,
REX,REX American Resources Corporation,Energy,2026-07-04,,
REZI,"Resideo Technologies, Inc.",Industrials,2026-07-04,,
RHI,Robert Half,Industrials,2026-07-04,,
RHP,Ryman Hospitality Properties,Real Estate,2026-07-04,,
RITM,Rithm Capital,Financials,2026-07-04,,
RNG,"RingCentral, Inc.",Information Technology,2026-07-04,,
RNST,Renasant Corp.,Financials,2026-07-04,,
ROCK,"Gibraltar Industries, Inc.",Industrials,2026-07-04,,
ROG,Rogers Corporation,Information Technology,2026-07-04,,
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,2026-07-04,,
RUN,Sunrun,Industrials,2026-07-04,,
RUSHA,Rush Enterprises,Industrials,2026-07-04,,
RWT,"Redwood Trust, Inc.",Real Estate,2026-07-04,,
RXO,"RXO, Inc.",Industrials,2026-07-04,,
SAFE,"Safehold, Inc.",Real Estate,2026-07-04,,
SABR,Sabre,Consumer Discretionary,2026-07-04,,
SAFT,"Safety Insurance Group, Inc.",Financials,2026-07-04,,
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,2026-07-04,,
SANM,Sanmina Corporation,Information Technology,2026-07-04,,
SBCF,Seacoast Banking Corporation of Florida,Financials,2026-07-04,,
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,2026-07-04,,
SBSI,"Southside Bancshares, Inc.",Financials,2026-07-04,,
SCHL,Scholastic Corporation,Consumer Discretionary,2026-07-04,,
SCL,Stepan Company,Materials,2026-07-04,,
SCSC,"ScanSource, Inc.",Information Technology,2026-07-04,,
SDGR,"Schrödinger, Inc.",Health Care,2026-07-04,,
SEDG,SolarEdge,Information Technology,2026-07-04,,
SEM,"Select Medical Holdings, Corp.",Health Care,2026-07-04,,
SEZL,Sezzle,Financials,2026-07-04,,
SFBS,"ServisFirst Bancshares, Inc.",Financials,2026-07-04,,
SFNC,Simmons First National Corporation,Financials,2026-07-04,,
SHAK,"Shake Shack, Inc.",Consumer Discretionary,2026-07-04,,
SHEN,Shenandoah Telecommunications Co,Communication Services,2026-07-04,,
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,2026-07-04,,
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,2026-07-04,,
SIG,Signet Jewelers,Consumer Discretionary,2026-07-04,,
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,2026-07-04,,
SKY,"Champion Homes, Inc.",Consumer Discretionary,2026-07-04,,
SKYW,"SkyWest, Inc.",Industrials,2026-07-04,,
SLG,SL Green Realty,Real Estate,2026-07-04,,
SLVM,Sylvamo Corp.,Materials,2026-07-04,,
SM,SM Energy Company,Energy,2026-07-04,,
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,2026-07-04,,
SMPL,Simply Good Foods Company,Consumer Staples,2026-07-04,,
SMTC,Semtech Corporation,Information Technology,2026-07-04,,
SNDR,Schneider National,Industrials,2026-07-04,,
SNEX,StoneX Group Inc.,Financials,2026-07-04,,
SONO,"Sonos, Inc.",Consumer Discretionary,2026-07-04,,
SPHR,Sphere Entertainment,Communication Services,2026-07-04,,
SPNT,SiriusPoint Ltd.,Financials,2026-07-04,,
SPSC,"SPS Commerce, Inc.",Information Technology,2026-07-04,,
SRPT,Sarepta Therapeutics,Health Care,2026-07-04,,
STAA,STAAR Surgical Company,Health Care,2026-07-04,,
STBA,"S&T Bancorp, Inc.",Financials,2026-07-04,,
STC,Stewart Information Services Corporation,Financials,2026-07-04,,
STEL,"Stellar Bancorp, Inc.",Financials,2026-07-04,,
STEP,StepStone Group,Financials,2026-07-04,,
STRA,"Strategic Education, Inc.",Consumer Discretionary,2026-07-04,,
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,2026-07-04,,
SXI,Standex International Corporation,Industrials,2026-07-04,,
SXT,Sensient Technologies,Materials,2026-07-04,,
TALO,"Talos Energy, Inc.",Energy,2026-07-04,,
TBBK,"The Bancorp, Inc.",Financials,2026-07-04,,
TDC,Teradata,Information Technology,2026-07-04,,
TDS,"Telephone and Data Systems, Inc.",Communication Services,2026-07-04,,
TDW,"Tidewater, Inc.",Energy,2026-07-04,,
TFIN,"Triumph Bancorp, Inc.",Financials,2026-07-04,,
TFX,Teleflex,Health Care,2026-07-04,,
TGTX,"TG Therapeutics, Inc.",Health Care,2026-07-04,,
THRM,Gentherm Incorporated,Consumer Discretionary,2026-07-04,,
TILE,"Interface, Inc.",Industrials,2026-07-04,,
TMDX,"TransMedics Group, Inc.",Health Care,2026-07-04,,
TMP,Tompkins Financial Corporation,Financials,2026-07-04,,
TNC,Tennant Company,Industrials,2026-07-04,,
TNDM,Tandem Diabetes Care,Health Care,2026-07-04,,
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,2026-07-04,,
TRIP,TripAdvisor,Communication Services,2026-07-04,,
TRMK,Trustmark Corp.,Financials,2026-07-04,,
TRN,"Trinity Industries, Inc.",Industrials,2026-07-04,,
TRNO,Terreno Realty Corporation,Real Estate,2026-07-04,,
TRST,TrustCo Bank Corp NY,Financials,2026-07-04,,
TRUP,Trupanion,Financials,2026-07-04,,
TWO,Two Harbors Investment Corp.,Financials,2026-07-04,,
UA,Under Armour (Class C),Consumer Discretionary,2026-07-04,,
UAA,Under Armour (Class A),Consumer Discretionary,2026-07-04,,
UCB,"United Community Banks, Inc.",Financials,2026-07-04,,
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,2026-07-04,,
UE,Urban Edge Properties,Real Estate,2026-07-04,,
UFCS,"United Fire Group, Inc.",Financials,2026-07-04,,
UFPT,"UFP Technologies, Inc.",Health Care,2026-07-04,,
UHT,Universal Health Realty Income Trust,Real Estate,2026-07-04,,
UNF,UniFirst Corporation,Industrials,2026-07-04,,
UNFI,United Natural Foods Inc,Consumer Staples,2026-07-04,,
UNIT,Uniti Group,Communication Services,2026-07-04,,
UPBD,"Upbound Group, Inc.",Consumer Discretionary,2026-07-04,,
UPWK,"Upwork, Inc.",Industrials,2026-07-04,,
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,2026-07-04,,
USPH,"U.S. Physical Therapy, Inc.",Health Care,2026-07-04,,
UTI,Universal Technical Institute,Consumer Discretionary,2026-07-04,,
UTL,Unitil Corporation,Utilities,2026-07-04,,
UVV,Universal Corporation,Consumer Staples,2026-07-04,,
VAC,Marriott Vacations Worldwide,Consumer Discretionary,2026-07-04,,
VCEL,Vericel,Health Care,2026-07-04,,
VCTR,"Victory Capital Holdings, Inc.",Financials,2026-07-04,,
VCYT,"Veracyte, Inc.",Health Care,2026-07-04,,
VECO,Veeco Instruments Inc.,Information Technology,2026-07-04,,
VGNT,Versigent PLC,Consumer Discretionary,2026-07-04,,
VIAV,VIAVI Solutions,Information Technology,2026-07-04,,
VIR,"Vir Biotechnology, Inc.",Health Care,2026-07-04,,
VIRT,"Virtu Financial, Inc.",Financials,2026-07-04,,
VITL,"Vital Farms, Inc.",Consumer Staples,2026-07-04,,
VRRM,Verra Mobility Corporation,Industrials,2026-07-04,,
VRTS,"Virtus Investment Partners, Inc.",Financials,2026-07-04,,
VSAT,"Viasat, Inc.",Information Technology,2026-07-04,,
VSEC,VSE Corporation,Industrials,2026-07-04,,
VSH,Vishay Intertechnology,Information Technology,2026-07-04,,
VSNT,"Versant Media Group, Inc.",Communication Services,2026-07-04,,
VSTS,Vestis,Industrials,2026-07-04,,
VSXY,Victoria's Secret,Consumer Discretionary,2026-07-04,,
VTOL,Bristow Group Inc.,Energy,2026-07-04,,
VYX,NCR Voyix,Information Technology,2026-07-04,,
WABC,Westamerica Bank,Financials,2026-07-04,,
WAFD,"WaFd, Inc.",Financials,2026-07-04,,
WAY,Waystar Holding Corp,Health Care,2026-07-04,,
WD,"Walker & Dunlop, Inc.",Financials,2026-07-04,,
WDFC,WD-40 Company,Consumer Staples,2026-07-04,,
WEN,The Wendy's Company,Consumer Discretionary,2026-07-04,,
WERN,Werner Enterprises,Industrials,2026-07-04,,
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,2026-07-04,,
WHD,"Cactus, Inc.",Energy,2026-07-04,,
WINA,Winmark,Consumer Discretionary,2026-07-04,,
WKC,World Kinect Corporation,Energy,2026-07-04,,
WLY,John Wiley & Sons,Communication Services,2026-07-04,,
WOR,Worthington Enterprises,Industrials,2026-07-04,,
WRLD,World Acceptance Corporation,Financials,2026-07-04,,
WS,Worthington Steel,Materials,2026-07-04,,
WSC,WillScot Holdings Corp.,Industrials,2026-07-04,,
WSFS,WSFS Financial Corporation,Financials,2026-07-04,,
WSR,Whitestone REIT,Real Estate,2026-07-04,,
WT,"WisdomTree Investments, Inc.",Financials,2026-07-04,,
WU,Western Union,Financials,2026-07-04,,
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,2026-07-04,,
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,2026-07-04,,
XNCR,Xencor Inc,Health Care,2026-07-04,,
XPEL,"XPEL, Inc.",Consumer Discretionary,2026-07-04,,
YELP,"Yelp, Inc.",Communication Services,2026-07-04,,
YOU,"Clear Secure, Inc.",Information Technology,2026-07-04,,
ZD,Ziff Davis,Communication Services,2026-07-04,,
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,2026-07-04,,
AA,Alcoa,Materials,2026-07-04,,
AAL,American Airlines Group,Industrials,2026-07-04,,
AAON,AAON,Industrials,2026-07-04,,
ACI,Albertsons,Consumer Staples,2026-07-04,,
ACM,AECOM,Industrials,2026-07-04,,
ADC,Agree Realty,Real Estate,2026-07-04,,
AEIS,Advanced Energy,Information Technology,2026-07-04,,
AFG,American Financial Group,Financials,2026-07-04,,
AGCO,AGCO,Industrials,2026-07-04,,
AHR,American Healthcare REIT,Real Estate,2026-07-04,,
AIT,Applied Industrial Technologies,Industrials,2026-07-04,,
ALGM,Allegro MicroSystems,Information Technology,2026-07-04,,
ALK,Alaska Air Group,Industrials,2026-07-04,,
ALLY,Ally Financial,Financials,2026-07-04,,
ALV,Autoliv,Consumer Discretionary,2026-07-04,,
AM,Antero Midstream,Energy,2026-07-04,,
AMG,Affiliated Managers Group,Financials,2026-07-04,,
AMH,American Homes 4 Rent,Real Estate,2026-07-04,,
AMKR,Amkor Technology,Information Technology,2026-07-04,,
AN,AutoNation,Consumer Discretionary,2026-07-04,,
ANF,Abercrombie & Fitch,Consumer Discretionary,2026-07-04,,
APG,APi Group,Industrials,2026-07-04,,
APPF,AppFolio,Information Technology,2026-07-04,,
AR,Antero Resources,Energy,2026-07-04,,
ARMK,Aramark,Consumer Discretionary,2026-07-04,,
ARW,Arrow Electronics,Information Technology,2026-07-04,,
ARWR,Arrowhead Pharmaceuticals,Health Care,2026-07-04,,
ASB,Associated Bank,Financials,2026-07-04,,
ASH,Ashland Global,Materials,2026-07-04,,
ATI,ATI Inc.,Industrials,2026-07-04,,
ATR,AptarGroup,Materials,2026-07-04,,
AVAV,AeroVironment,Industrials,2026-07-04,,
AVNT,Avient,Materials,2026-07-04,,
AVT,Avnet,Information Technology,2026-07-04,,
AVTR,Avantor,Health Care,2026-07-04,,
AXTA,Axalta,Materials,2026-07-04,,
AYI,Acuity Brands,Industrials,2026-07-04,,
BAH,Booz Allen Hamilton,Industrials,2026-07-04,,
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,2026-07-04,,
BC,Brunswick,Consumer Discretionary,2026-07-04,,
BCO,Brink's,Industrials,2026-07-04,,
BDC,Belden Inc.,Information Technology,2026-07-04,,
BHF,Brighthouse Financial,Financials,2026-07-04,,
BILL,Bill Holdings,Information Technology,2026-07-04,,
BIO,Bio-Rad Laboratories,Health Care,2026-07-04,,
BJ,BJ's Wholesale Club,Consumer Staples,2026-07-04,,
BKH,Black Hills Corporation,Utilities,2026-07-04,,
BLD,TopBuild Corp.,Consumer Discretionary,2026-07-04,,
BMRN,BioMarin Pharmaceutical,Health Care,2026-07-04,,
BRKR,Bruker,Health Care,2026-07-04,,
BROS,Dutch Bros Inc.,Consumer Discretionary,2026-07-04,,
BRX,Brixmor Property Group,Real Estate,2026-07-04,,
BSY,Bentley Systems,Information Technology,2026-07-04,,
BURL,Burlington Stores,Consumer Discretionary,2026-07-04,,
BWA,BorgWarner,Consumer Discretionary,2026-07-04,,
BWXT,BWX Technologies,Industrials,2026-07-04,,
BYD,Boyd Gaming,Consumer Discretionary,2026-07-04,,
CACI,CACI International,Industrials,2026-07-04,,
CAR,Avis Budget Group,Industrials,2026-07-04,,
CART,Maplebear Inc.,Consumer Staples,2026-07-04,,
CAVA,Cava Group,Consumer Discretionary,2026-07-04,,
CBSH,Commerce Bancshares,Financials,2026-07-04,,
CBT,Cabot Corp,Materials,2026-07-04,,
CCK,Crown Holdings,Materials,2026-07-04,,
CDE,Coeur Mining,Materials,2026-07-04,,
CDP,COPT Defense Properties,Real Estate,2026-07-04,,
CELH,Celsius Holdings,Consumer Staples,2026-07-04,,
CFR,Frost Bank,Financials,2026-07-04,,
CG,Carlyle Group (The),Financials,2026-07-04,,
CGNX,Cognex,Information Technology,2026-07-04,,
CHDN,Churchill Downs Inc.,Consumer Discretionary,2026-07-04,,
CHE,Chemed Corp.,Health Care,2026-07-04,,
CHH,Choice Hotels,Consumer Discretionary,2026-07-04,,
CHRD,Chord Energy,Energy,2026-07-04,,
CHWY,Chewy,Consumer Discretionary,2026-07-04,,
CLF,Cleveland-Cliffs,Materials,2026-07-04,,
CLH,Clean Harbors,Industrials,2026-07-04,,
CMC,Commercial Metals,Materials,2026-07-04,,
CNH,CNH Industrial,Industrials,2026-07-04,,
CNM,Core & Main,Industrials,2026-07-04,,
CNO,CNO Financial Group,Financials,2026-07-04,,
CNX,CNX Resources,Energy,2026-07-04,,
COKE,Coca-Cola Consolidated,Consumer Staples,2026-07-04,,
COLB,Columbia Banking System,Financials,2026-07-04,,
COLM,Columbia Sportswear,Consumer Discretionary,2026-07-04,,
CPRI,Capri Holdings,Consumer Discretionary,2026-07-04,,
CR,Crane,Industrials,2026-07-04,,
CRBG,Corebridge Financial,Financials,2026-07-04,,
CROX,Crocs,Consumer Discretionary,2026-07-04,,
CRS,Carpenter Technology,Industrials,2026-07-04,,
CRUS,Cirrus Logic,Information Technology,2026-07-04,,
CSL,Carlisle Companies,Industrials,2026-07-04,,
CTRE,CareTrust REIT,Real Estate,2026-07-04,,
CUBE,CubeSmart,Real Estate,2026-07-04,,
CUZ,Cousins Properties,Real Estate,2026-07-04,,
CVLT,CommVault Systems,Information Technology,2026-07-04,,
CW,Curtiss-Wright,Industrials,2026-07-04,,
CXT,Crane NXT,Information Technology,2026-07-04,,
CYTK,Cytokinetics,Health Care,2026-07-04,,
DAR,Darling Ingredients,Consumer Staples,2026-07-04,,
DBX,Dropbox,Information Technology,2026-07-04,,
DCI,Donaldson Company,Industrials,2026-07-04,,
DINO,HF Sinclair,Energy,2026-07-04,,
DKS,Dick's Sporting Goods,Consumer Discretionary,2026-07-04,,
DLB,Dolby,Information Technology,2026-07-04,,
DOCN,DigitalOcean,Information Technology,2026-07-04,,
DOCS,Doximity,Health Care,2026-07-04,,
DOCU,Docusign,Information Technology,2026-07-04,,
DT,Dynatrace,Information Technology,2026-07-04,,
DTM,DT Midstream,Energy,2026-07-04,,
DUOL,Duolingo,Consumer Discretionary,2026-07-04,,
DY,Dycom Industries,Industrials,2026-07-04,,
EEFT,Euronet Worldwide,Financials,2026-07-04,,
EGP,EastGroup Properties,Real Estate,2026-07-04,,
EHC,Encompass Health,Health Care,2026-07-04,,
ELAN,Elanco,Health Care,2026-07-04,,
ELF,e.l.f. Beauty,Consumer Staples,2026-07-04,,
ELS,Equity Lifestyle Properties,Real Estate,2026-07-04,,
ENS,EnerSys,Industrials,2026-07-04,,
ENSG,Ensign Group,Health Care,2026-07-04,,
ENTG,Entegris,Information Technology,2026-07-04,,
EPR,EPR Properties,Real Estate,2026-07-04,,
EQH,Equitable Holdings,Financials,2026-07-04,,
ESAB,ESAB,Industrials,2026-07-04,,
ESNT,Essent Group Ltd.,Financials,2026-07-04,,
EVR,Evercore,Financials,2026-07-04,,
EWBC,East West Bancorp,Financials,2026-07-04,,
EXEL,Exelixis,Health Care,2026-07-04,,
EXLS,EXL Service,Industrials,2026-07-04,,
EXP,Eagle Materials,Materials,2026-07-04,,
EXPO,"Exponent, Inc.",Industrials,2026-07-04,,
FAF,First American Financial Corporation,Financials,2026-07-04,,
FBIN,Fortune Brands Innovations,Industrials,2026-07-04,,
FCFS,FirstCash,Financials,2026-07-04,,
FCN,FTI Consulting,Industrials,2026-07-04,,
FFIN,First Financial Bankshares,Financials,2026-07-04,,
FHI,Federated Hermes,Financials,2026-07-04,,
FHN,First Horizon,Financials,2026-07-04,,
FIVE,Five Below,Consumer Discretionary,2026-07-04,,
FLG,Flagstar Bank,Financials,2026-07-04,,
FLR,Fluor,Industrials,2026-07-04,,
FLS,Flowserve,Industrials,2026-07-04,,
FN,Fabrinet,Information Technology,2026-07-04,,
FNB,FNB Corporation,Financials,2026-07-04,,
FND,Floor & Decor,Consumer Discretionary,2026-07-04,,
FNF,Fidelity National Financial,Financials,2026-07-04,,
FOUR,Shift4,Financials,2026-07-04,,
FR,First Industrial Realty Trust,Real Estate,2026-07-04,,
FTI,TechnipFMC,Energy,2026-07-04,,
G,Genpact,Industrials,2026-07-04,,
GAP,Gap Inc.,Consumer Discretionary,2026-07-04,,
GATX,GATX,Industrials,2026-07-04,,
GBCI,Glacier Bancorp,Financials,2026-07-04,,
GEF,"Greif, Inc.",Materials,2026-07-04,,
GGG,Graco Inc.,Industrials,2026-07-04,,
GHC,Graham Holdings,Consumer Discretionary,2026-07-04,,
GLPI,Gaming and Leisure Properties,Real Estate,2026-07-04,,
GME,GameStop,Consumer Discretionary,2026-07-04,,
GMED,Globus Medical,Health Care,2026-07-04,,
GNTX,Gentex,Consumer Discretionary,2026-07-04,,
GPK,Graphic Packaging,Materials,2026-07-04,,
GT,Goodyear Tire & Rubber,Consumer Discretionary,2026-07-04,,
GTLS,Chart Industries,Industrials,2026-07-04,,
GWRE,Guidewire Software,Information Technology,2026-07-04,,
GXO,GXO Logistics,Industrials,2026-07-04,,
H,Hyatt,Consumer Discretionary,2026-07-04,,
HAE,Haemonetics,Health Care,2026-07-04,,
HALO,Halozyme,Health Care,2026-07-04,,
HGV,Hilton Grand Vacations,Consumer Discretionary,2026-07-04,,
HIMS,Hims & Hers Health,Health Care,2026-07-04,,
HL,Hecla Mining,Materials,2026-07-04,,
HLI,Houlihan Lokey,Financials,2026-07-04,,
HLNE,Hamilton Lane,Financials,2026-07-04,,
HOG,Harley-Davidson,Consumer Discretionary,2026-07-04,,
HOMB,Home BancShares,Financials,2026-07-04,,
HQY,HealthEquity,Health Care,2026-07-04,,
HR,Healthcare Realty Trust,Real Estate,2026-07-04,,
HRB,H&R Block,Consumer Discretionary,2026-07-04,,
HWC,Hancock Whitney,Financials,2026-07-04,,
HXL,Hexcel,Industrials,2026-07-04,,
IBOC,Intl Bancshares Corp,Financials,2026-07-04,,
IDA,Idacorp,Utilities,2026-07-04,,
IDCC,InterDigital,Information Technology,2026-07-04,,
ILMN,"Illumina, Inc.",Health Care,2026-07-04,,
INGR,Ingredion,Consumer Staples,2026-07-04,,
IPGP,IPG Photonics,Information Technology,2026-07-04,,
IRT,IRT Living,Real Estate,2026-07-04,,
ITT,ITT Inc.,Industrials,2026-07-04,,
JAZZ,Jazz Pharmaceuticals,Health Care,2026-07-04,,
JEF,Jefferies,Financials,2026-07-04,,
JHG,Janus Henderson,Financials,2026-07-04,,
JLL,Jones Lang LaSalle,Real Estate,2026-07-04,,
KBH,KB Home,Consumer Discretionary,2026-07-04,,
KBR,"KBR, Inc.",Industrials,2026-07-04,,
KD,Kyndryl,Information Technology,2026-07-04,,
KEX,Kirby Corporation,Industrials,2026-07-04,,
KNF,Knife River Corporation,Materials,2026-07-04,,
KNSL,Kinsale Capital Group,Financials,2026-07-04,,
KNX,Knight-Swift,Industrials,2026-07-04,,
KRC,Kilroy Realty Corp,Real Estate,2026-07-04,,
KRG,Kite Realty Group Trust,Real Estate,2026-07-04,,
KTOS,Kratos Defense & Security Solutions,Industrials,2026-07-04,,
LAD,Lithia Motors,Consumer Discretionary,2026-07-04,,
LAMR,Lamar Advertising Company,Real Estate,2026-07-04,,
LEA,Lear,Consumer Discretionary,2026-07-04,,
LECO,Lincoln Electric,Industrials,2026-07-04,,
LFUS,Littelfuse,Information Technology,2026-07-04,,
